            input          (en0)           output
   packets  errs      bytes    packets  errs      bytes colls
        14     0       2441          3     0        520     0
         4     0        936          0     0          0     0
         5     0       1388          0     0          0     0
         3     0        540          0     0          0     0
         6     0       1798          8     0       2559     0
         5     0        428          5     0        494     0
         5     0        910          3     0        243     0
         0     0          0          0     0          0     0
         5     0        802          4     0        276     0
         0     0          0          0     0          0     0
         1     0         66          1     0         97     0
         4     0        358          4     0        329     0
